,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment_mode,cogs,gross margin percentage,gross income,Rating,Rating_range,Hour,Minute,Day,Month,Year
11,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,102.04,4.761904762,5.102,6.8,6-7,17,3,9,March,2019
12,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,7-8,10,25,12,February,2019
13,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,431.9,4.761904762,21.595,8.2,8-9,16,48,7,February,2019
14,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,4.761904762,35.69,5.7,5-6,19,21,29,March,2019
15,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,562.32,4.761904762,28.116,4.5,4-5,16,19,15,January,2019
16,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,482.51,4.761904762,24.1255,4.6,4-5,11,3,11,March,2019
17,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,435.66,4.761904762,21.783,6.9,6-7,10,39,1,January,2019
18,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,164.01,4.761904762,8.2005,8.6,8-9,18,0,21,January,2019
19,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.761904762,4.03,4.4,4-5,15,30,11,March,2019
20,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,4.761904762,21.51,4.8,4-5,11,24,25,February,2019
21,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,263.94,4.761904762,13.197,5.1,5-6,10,40,5,March,2019
22,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,4.761904762,3.32,4.4,4-5,12,20,15,March,2019
23,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,4.761904762,8.64,9.9,9-10,11,15,17,February,2019
24,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,5-6,17,36,2,March,2019
25,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,420.72,4.761904762,21.036,8.5,8-9,19,20,22,March,2019
26,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,33.52,4.761904762,1.676,6.7,6-7,15,31,8,February,2019
27,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,175.34,4.761904762,8.767,7.7,7-8,12,17,10,March,2019
28,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,4.761904762,22.09,9.6,9-10,19,48,25,January,2019
29,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,224.01,4.761904762,11.2005,7.4,7-8,15,36,15,March,2019
30,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,470.65,4.761904762,23.5325,4.8,4-5,19,39,25,February,2019
31,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,Cash,702.63,4.761904762,35.1315,4.5,4-5,12,43,28,January,2019
32,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,670.24,4.761904762,33.512,5.1,5-6,14,49,10,January,2019
33,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,Credit card,193.16,4.761904762,9.658,5.1,5-6,10,12,15,March,2019
34,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,Ewallet,397.68,4.761904762,19.884,7.5,7-8,10,42,6,February,2019
35,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28,Ewallet,68.12,4.761904762,3.406,6.8,6-7,12,28,7,January,2019
36,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,313.1,4.761904762,15.655,7.0,6-7,19,15,10,March,2019
37,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,547.92,4.761904762,27.396,4.7,4-5,17,17,15,January,2019
38,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24,Ewallet,439.36,4.761904762,21.968,7.6,7-8,13,24,23,March,2019
39,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01,Cash,240.96,4.761904762,12.048,7.7,7-8,13,1,3,March,2019
40,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,86.72,4.761904762,4.336,7.9,7-8,18,45,17,January,2019
41,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11,Cash,112.22,4.761904762,5.611,6.3,6-7,10,11,2,February,2019
42,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03,Cash,414.72,4.761904762,20.736,5.6,5-6,13,3,8,February,2019
43,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,789.6,4.761904762,39.48,7.6,7-8,20,39,4,March,2019
44,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,30.74,4.761904762,1.537,7.2,7-8,19,47,16,March,2019
45,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00,Cash,375.84,4.761904762,18.792,9.5,9-10,18,0,9,March,2019
46,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24,Credit card,510.21,4.761904762,25.5105,8.4,8-9,17,24,27,February,2019
47,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,4-5,15,47,6,February,2019
48,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45,Credit card,113.58,4.761904762,5.679,8.1,8-9,12,45,10,February,2019
49,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08,Ewallet,826.3,4.761904762,41.315,7.9,7-8,17,8,19,March,2019
50,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,Cash,639.8,4.761904762,31.99,9.5,9-10,10,19,3,February,2019
51,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10,Cash,222.95,4.761904762,11.1475,8.5,8-9,15,10,10,February,2019
52,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42,Ewallet,71.48,4.761904762,3.574,6.5,6-7,14,42,22,March,2019
53,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46,Credit card,15.43,4.761904762,0.7715,6.1,6-7,15,46,25,January,2019
54,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49,Ewallet,32.32,4.761904762,1.616,6.5,6-7,11,49,7,March,2019
55,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01,Cash,687.84,4.761904762,34.392,8.2,8-9,19,1,28,February,2019
56,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26,Cash,88.68,4.761904762,4.434,5.8,5-6,11,26,27,March,2019
57,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,4.761904762,35.84,6.6,6-7,11,28,7,February,2019
58,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,Cash,723.5,4.761904762,36.175,5.4,5-6,15,55,20,January,2019
59,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36,Cash,183.66,4.761904762,9.183,9.3,9-10,20,36,12,March,2019
60,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47,Credit card,74.22,4.761904762,3.711,10.0,9-10,17,47,15,February,2019
61,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55,Ewallet,334.38,4.761904762,16.719,7.0,6-7,10,55,24,February,2019
62,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,9-10,13,40,3,February,2019
63,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,Credit card,158.1,4.761904762,7.905,8.6,8-9,12,27,6,March,2019
64,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35,Cash,302.96,4.761904762,15.148,7.6,7-8,14,35,14,February,2019
65,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,Cash,158.7,4.761904762,7.935,5.8,5-6,16,40,13,March,2019
66,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43,Ewallet,66.94,4.761904762,3.347,6.7,6-7,15,43,10,February,2019
67,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01,Ewallet,585.66,4.761904762,29.283,9.9,9-10,15,1,7,January,2019
68,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,Cash,787.7,4.761904762,39.385,6.4,6-7,10,4,24,January,2019
69,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,Cash,18.33,4.761904762,0.9165,4.3,4-5,18,50,2,February,2019
70,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,4.761904762,44.74,9.6,9-10,12,46,6,January,2019
71,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,4.761904762,31.06,5.9,5-6,16,19,11,February,2019
72,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17,Ewallet,145.56,4.761904762,7.278,4.0,3-4,18,17,5,March,2019
73,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21,Cash,455.46,4.761904762,22.773,8.7,8-9,18,21,9,March,2019
74,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,9-10,10,55,22,January,2019
75,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,Credit card,416.5,4.761904762,20.825,5.4,5-6,17,4,13,January,2019
76,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20,Credit card,441.36,4.761904762,22.068,8.6,8-9,14,20,9,January,2019
77,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,180.09,4.761904762,9.0045,5.7,5-6,15,48,12,January,2019
78,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,Ewallet,783.1,4.761904762,39.155,6.6,6-7,16,24,5,March,2019
79,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,Cash,101.9,4.761904762,5.095,6.0,5-6,18,56,22,January,2019
80,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42,Credit card,595.14,4.761904762,29.757,5.5,5-6,14,42,21,January,2019
81,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56,Ewallet,290.04,4.761904762,14.502,6.4,6-7,19,56,26,January,2019
82,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,154.0,4.761904762,7.7,6.6,6-7,18,37,23,January,2019
83,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45,Credit card,321.44,4.761904762,16.072,8.3,8-9,18,45,23,February,2019
84,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,Cash,244.55,4.761904762,12.2275,6.6,6-7,10,17,9,March,2019
85,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31,Ewallet,581.42,4.761904762,29.071,4.0,3-4,14,31,5,March,2019
86,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23,Cash,382.6,4.761904762,19.13,9.9,9-10,10,23,25,March,2019
87,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35,Credit card,345.66,4.761904762,17.283,7.3,7-8,20,35,27,March,2019
88,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,42.47,4.761904762,2.1235,5.7,5-6,16,57,2,January,2019
89,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55,Cash,461.94,4.761904762,23.097,6.1,6-7,17,55,27,February,2019
90,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,Cash,189.52,4.761904762,9.476,7.1,7-8,10,25,23,January,2019
91,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,448.6,4.761904762,22.43,8.2,8-9,19,54,26,January,2019
92,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,153.86,4.761904762,7.693,5.1,5-6,16,42,10,January,2019
93,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,Credit card,579.24,4.761904762,28.962,8.6,8-9,12,9,12,March,2019
94,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,Credit card,89.75,4.761904762,4.4875,6.6,6-7,20,5,6,February,2019
95,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,Ewallet,97.16,4.761904762,4.858,7.2,7-8,20,38,8,March,2019
96,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,Ewallet,878.7,4.761904762,43.935,5.1,5-6,10,25,29,March,2019
97,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11,Cash,74.7,4.761904762,3.735,4.1,4-5,13,11,9,February,2019
98,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,9-10,10,16,23,March,2019
99,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,4.761904762,24.81,7.4,7-8,18,14,5,March,2019
100,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,Cash,48.71,4.761904762,2.4355,4.1,4-5,19,20,26,March,2019
101,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,Cash,706.95,4.761904762,35.3475,7.2,7-8,13,22,1,March,2019
102,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,Cash,207.63,4.761904762,10.3815,4.9,4-5,11,27,1,February,2019
103,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,Cash,349.56,4.761904762,17.478,9.9,9-10,16,44,28,March,2019
104,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19,Cash,212.45,4.761904762,10.6225,8.0,7-8,18,19,19,March,2019
105,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,886.7,4.761904762,44.335,7.3,7-8,14,50,12,January,2019
106,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54,Credit card,164.28,4.761904762,8.214,7.9,7-8,20,54,5,January,2019
107,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19,Cash,372.78,4.761904762,18.639,7.4,7-8,20,19,22,March,2019
108,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43,Cash,305.82,4.761904762,15.291,4.2,4-5,10,43,24,March,2019
109,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30,Cash,819.7,4.761904762,40.985,9.2,9-10,14,30,3,March,2019
110,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32,Ewallet,32.98,4.761904762,1.649,4.6,4-5,11,32,5,February,2019
111,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41,Credit card,294.63,4.761904762,14.7315,7.8,7-8,10,41,5,February,2019
112,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44,Cash,509.88,4.761904762,25.494,8.4,8-9,12,44,15,February,2019
113,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,4-5,20,7,19,January,2019
114,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31,Credit card,727.11,4.761904762,36.3555,9.5,9-10,20,31,1,February,2019
115,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01,Credit card,81.06,4.761904762,4.053,7.1,7-8,13,1,2,March,2019
116,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29,Ewallet,109.7,4.761904762,5.485,5.3,5-6,12,29,5,March,2019
117,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26,Ewallet,51.36,4.761904762,2.568,5.2,5-6,15,26,16,January,2019
118,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,109.6,4.761904762,5.48,6.0,5-6,20,48,2,February,2019
119,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38,Ewallet,106.88,4.761904762,5.344,4.1,4-5,20,38,20,January,2019
120,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03,Credit card,796.48,4.761904762,39.824,5.2,5-6,17,3,14,February,2019
121,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,Credit card,399.84,4.761904762,19.992,6.5,6-7,12,2,12,January,2019
122,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26,Credit card,899.64,4.761904762,44.982,4.2,4-5,17,26,9,March,2019
123,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52,Credit card,511.28,4.761904762,25.564,4.6,4-5,19,52,13,March,2019
124,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57,Ewallet,451.76,4.761904762,22.588,7.3,7-8,14,57,9,March,2019
125,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,Credit card,655.83,4.761904762,32.7915,4.5,4-5,18,44,10,March,2019
126,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,Cash,161.25,4.761904762,8.0625,9.0,8-9,13,26,27,January,2019
127,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17,Credit card,285.57,4.761904762,14.2785,5.9,5-6,16,17,8,January,2019
128,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57,Ewallet,548.32,4.761904762,27.416,8.5,8-9,15,57,8,January,2019
129,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15,Ewallet,812.52,4.761904762,40.626,7.2,7-8,11,15,8,February,2019
130,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18,Cash,277.34,4.761904762,13.867,7.5,7-8,13,18,25,January,2019
131,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,Cash,552.78,4.761904762,27.639,8.3,8-9,20,34,6,March,2019
132,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36,Cash,139.36,4.761904762,6.968,7.4,7-8,18,36,10,February,2019
133,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40,Credit card,524.7,4.761904762,26.235,8.8,8-9,14,40,17,February,2019
134,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,Ewallet,487.8,4.761904762,24.39,5.3,5-6,16,43,8,March,2019
135,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39,Cash,270.66,4.761904762,13.533,6.2,6-7,19,39,18,February,2019
136,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59,Credit card,131.55,4.761904762,6.5775,8.8,8-9,20,59,18,January,2019
137,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39,Cash,206.52,4.761904762,10.326,9.8,9-10,15,39,18,February,2019
138,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21,Cash,519.1,4.761904762,25.955,8.2,8-9,12,21,16,February,2019
139,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,580.0,4.761904762,29.0,9.2,9-10,19,25,16,March,2019
140,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,Credit card,898.0,4.761904762,44.9,5.4,5-6,13,0,23,January,2019
141,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,Cash,905.0,4.761904762,45.25,8.1,8-9,13,48,25,January,2019
142,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,Cash,686.0,4.761904762,34.3,9.1,9-10,19,57,5,February,2019
143,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36,Credit card,30.41,4.761904762,1.5205,8.4,8-9,10,36,22,February,2019
144,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37,Ewallet,467.7,4.761904762,23.385,8.0,7-8,16,37,21,January,2019
145,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11,Credit card,277.56,4.761904762,13.878,9.5,9-10,17,11,8,March,2019
146,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,301.4,4.761904762,15.07,9.2,9-10,12,28,10,February,2019
147,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46,Credit card,264.56,4.761904762,13.228,5.6,5-6,12,46,19,March,2019
148,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07,Credit card,574.88,4.761904762,28.744,6.2,6-7,15,7,6,March,2019
149,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48,Credit card,259.68,4.761904762,12.984,4.9,4-5,13,48,27,March,2019
150,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20,Credit card,366.16,4.761904762,18.308,4.8,4-5,19,20,23,March,2019
151,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07,Credit card,241.92,4.761904762,12.096,7.3,7-8,16,7,11,March,2019
152,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56,Credit card,749.16,4.761904762,37.458,7.4,7-8,11,56,29,January,2019
153,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23,Ewallet,98.88,4.761904762,4.944,9.9,9-10,18,23,7,February,2019
154,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05,Cash,647.76,4.761904762,32.388,9.3,9-10,13,5,28,January,2019
155,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55,Credit card,461.45,4.761904762,23.0725,9.0,8-9,15,55,20,February,2019
156,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40,Cash,72.17,4.761904762,3.6085,6.1,6-7,19,40,4,January,2019
157,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,Ewallet,251.4,4.761904762,12.57,9.7,9-10,13,58,7,March,2019
158,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43,Ewallet,874.98,4.761904762,43.749,6.0,5-6,14,43,30,March,2019
159,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,19:18,Ewallet,560.34,4.761904762,28.017,10.0,9-10,19,18,27,March,2019
